Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,CLAN1,145.000000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
1,CLAN2,146.000000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
2,CLAN3,445.000000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
3,CLAN4,446.000000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
4,RR1,150.080000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
5,RR2,150.110000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
6,RR3,150.140000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
7,RR4,150.185000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
8,RR5,150.200000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
9,RR6,150.245000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
10,RR7,150.260000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
11,RR8,150.320000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
12,RR9,150.365000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
13,RR10,150.410000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
14,RR11,150.440000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
15,RR12,150.500000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
16,RR13,150.530000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
17,RR14,150.545000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
18,RR15,150.560000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
19,RR16,150.590000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
20,RR17,150.680000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
21,RR18,150.710000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
22,RR19,150.770000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
23,RR20,150.830000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
24,RR21,151.010000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
25,RR22,151.130000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
26,RR23,151.190000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
27,RR24,151.220000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
28,RR25,151.310000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
29,RR26,151.340000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
30,RR27,151.370000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
31,RR28,151.430000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
32,RR29,151.460000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
33,RR30,151.490000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
34,RR31,151.520000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
35,RR32,151.580000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
36,RR33,151.610000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
37,RR34,151.640000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
38,RR35,151.670000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
39,LD1,151.700000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
40,LD2,151.745000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
41,LD3,151.790000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
42,LD4,151.805000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
43,LD5,151.850000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
44,WTHR1,162.550000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
45,WTHR2,162.400000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
46,WTHR3,162.425000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
47,WTHR4,162.475000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
48,FRS1,462.562500,,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
49,FRS2,462.587500,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
50,FRS3,462.612500,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
51,FRS4,462.637500,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
52,FRS5,462.662500,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
53,FRS6,462.687500,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
54,FRS7,462.712500,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
55,FRS8,467.562500,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
56,FRS9,467.587500,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
57,FRS10,467.612500,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
58,FRS11,467.637500,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
59,FRS12,467.662500,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
60,FRS13,467.687500,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
61,FRS14,467.712500,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
62,FRS15,462.550000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
63,FRS16,462.575000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
64,FRS17,462.600000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
65,FRS18,462.625000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
66,FRS19,462.650000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
67,FRS20,462.675000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
68,FRS21,462.700000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
69,FRS22,462.725000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
70,MURS1,151.820000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
71,MURS2,151.880000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
72,MURS3,151.940000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
73,MURS4,154.570000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
74,MURS5,154.600000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
75,VE7RVF,145.450000,-,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
