Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,SIMPLEX 1,146.415000,,0.600000,,88.5,88.5,023,NN,FM,15.00,S,,,,,
1,SIMPLEX 2,146.430000,,0.000000,,88.5,88.5,023,NN,FM,15.00,S,,,,,
2,SIMPLEX 3,146.445000,,0.000000,,88.5,88.5,023,NN,FM,15.00,S,,,,,
3,SIMPLEX 4,146.460000,,0.000000,,88.5,88.5,023,NN,FM,15.00,S,,,,,
4,SIMPLEX 5,146.475000,,0.000000,,88.5,88.5,023,NN,FM,15.00,S,,,,,
5,SIMPLEX 6,146.490000,,0.000000,,88.5,88.5,023,NN,FM,15.00,S,,,,,
6,SIMPLEX 7,146.505000,,0.000000,,88.5,88.5,023,NN,FM,15.00,S,,,,,
7,SIMPLEX 8,146.520000,,0.000000,,88.5,88.5,023,NN,FM,15.00,S,,,,,
8,SIMPLEX 9,146.535000,,0.000000,,88.5,88.5,023,NN,FM,15.00,S,,,,,
9,SIMPLEX 10,146.550000,,0.000000,,88.5,88.5,023,NN,FM,15.00,S,,,,,
10,SIMPLEX 11,146.565000,,0.000000,,88.5,88.5,023,NN,FM,15.00,S,,,,,
11,SIMPLEX 12,146.580000,,0.000000,,88.5,88.5,023,NN,FM,15.00,S,,,,,
12,SIMPLEX 13,146.595000,,0.000000,,88.5,88.5,023,NN,FM,15.00,S,,,,,
13,SIMPLEX 14,147.420000,,0.000000,,88.5,88.5,023,NN,FM,30.00,S,,,,,
14,SIMPLEX 15,147.450000,,0.000000,,88.5,88.5,023,NN,FM,30.00,S,,,,,
15,SIMPLEX 16,147.480000,,0.000000,,88.5,88.5,023,NN,FM,30.00,S,,,,,
16,SIMPLEX 17,147.510000,,0.000000,,88.5,88.5,023,NN,FM,30.00,S,,,,,
17,SIMPLEX 18,147.540000,,0.000000,,88.5,88.5,023,NN,FM,30.00,S,,,,,
18,SIMPLEX 19,147.570000,,0.000000,,88.5,88.5,023,NN,FM,30.00,S,,,,,
