Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,RR 1,150.080000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
1,RR 2,150.110000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
2,RR 3,150.140000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
3,RR 4,150.185000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
4,RR 5,150.200000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
5,RR 6,150.245000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
6,RR 7,150.260000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
7,RR 8,150.320000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
8,RR 9,150.365000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
9,RR 10,150.410000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
10,RR 11,150.440000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
11,RR 12,150.500000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
12,RR 13,150.530000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
13,RR 14,150.545000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
14,RR 15,150.560000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
15,RR 16,150.590000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
16,RR 17,150.680000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
17,RR 18,150.710000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
18,RR 19,150.770000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
19,RR 20,150.830000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
20,RR 21,151.010000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
21,RR 22,151.130000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
22,RR 23,151.190000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
23,RR 24,151.220000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
24,RR 25,151.310000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
25,RR 26,151.340000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
26,RR 27,151.370000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
27,RR 28,151.430000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
28,RR 29,151.460000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
29,RR 30,151.490000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
30,RR 31,151.520000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
31,RR 32,151.580000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
32,RR 33,151.610000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
33,RR 34,151.640000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
34,RR 35,151.670000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
35,LADD 1,151.700000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
36,LADD 2,151.745000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
37,LADD 3,151.790000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
38,LADD 4,151.805000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
39,LADD 5,151.850000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
